Title,Type,Timestamp,Account Currency,Total Amount in Account Currency,Buy / Sell,Ticker,ISIN,Price per Share in Account Currency,Stamp Duty,Quantity,Venue,Order ID,Order Type,Instrument Currency,Total Amount in Instrument Currency,Price per Share,FX Rate,Base FX Rate,FX Fee (BPS),FX Fee Amount,Dividend Ex Date,Dividend Pay Date,Dividend Eligible Quantity,Dividend Amount Per Share,Dividend Gross Distribution Amount,Dividend Net Distribution Amount,Dividend Withheld Tax Percentage,Dividend Withheld Tax Amount,Stock Split Ex Date,Stock Split Pay Date,Stock Split New ISIN,Stock Split Rate of Share Outturn From,Stock Split Rate of Share Outturn To,Stock Split Maintain Holding of Initial ISIN,Stock Split New Share Quantity,Stock Split Rate of Cash Outturn Amount,Stock Split Rate of Cash Outturn Currency,Stock Split Cash Outturn Received Amount,Stock Split Has Fractional Payout,Stock Split Rate of Fractional Payout Amount,Stock Split Rate of Fractional Payout Currency,Stock Split Fractional Payout Cash Received Amount,Stock Split Fractional Payout Cash Received Currency
Ultra-Short Inc GBP Acc,ORDER,2026-02-25T08:02:20.793Z,GBP,10041.51,SELL,JGSA,IE00BG47J908,119.5417857,0,84,London Stock Exchange,BZFFM3FL2PSO,LIMIT,GBP,10041.51,119.5417857,,,0,,,,,,,,,,,,,,,,,,,,,,,,
MSCI World ex-USA USD Acc,ORDER,2026-02-25T08:02:04.900Z,GBP,438.01,SELL,XUSE,IE000R4ZNTN3,5.15305882,0,85,London Stock Exchange,A9T2PRIX10ZA,LIMIT,GBP,438.01,5.15305882,,,0,,,,,,,,,,,,,,,,,,,,,,,,
FTSE All-World Acc,ORDER,2026-02-25T08:00:19.135Z,GBP,5607.45,SELL,FWRG,IE000716YHJ7,6.44534483,0,870,London Stock Exchange,W1AEEVF2CU0L,LIMIT,GBP,5607.45,6.44534483,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Interest,INTEREST_FROM_CASH,2026-02-16T00:00:00.000Z,GBP,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January Statement,MONTHLY_STATEMENT,2026-02-01T00:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personal Assets,ORDER,2026-01-28T10:08:01.765Z,GBP,6252.19,BUY,PNL,GB00BM8B5H06,5.46667838,31.11,1138,London Stock Exchange,HQVIYN505UC0,MARKET,GBP,6221.08,5.46667838,,,0,,,,,,,,,,,,,,,,,,,,,,,,
MSCI World ex-USA USD Acc,ORDER,2026-01-28T08:59:05.792Z,GBP,884.07,BUY,XUSE,IE000R4ZNTN3,4.9115,0,180,London Stock Exchange,3S5QWLCSHTOD,MARKET,GBP,884.07,4.9115,,,0,,,,,,,,,,,,,,,,,,,,,,,,
MSCI World ex-USA USD Acc,ORDER,2026-01-28T08:56:50.808Z,GBP,6088.87,BUY,XUSE,IE000R4ZNTN3,4.91037903,0,1240,London Stock Exchange,R1KWB4KF6B51,MARKET,GBP,6088.87,4.91037903,,,0,,,,,,,,,,,,,,,,,,,,,,,,
FTSE All-World Acc,ORDER,2026-01-28T08:53:09.304Z,GBP,7213.64,SELL,FWRG,IE000716YHJ7,6.31114611,0,1143,London Stock Exchange,RT3T1Y7FFSXF,BASIC,GBP,7213.64,6.31114611,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Physical Gold GBP Acc,ORDER,2026-01-28T08:50:04.227Z,GBP,2025.36,SELL,IGLG,IE000Q2P3ZQ3,84.39,0,24,London Stock Exchange,46ANWDGKP4TI,BASIC,GBP,2025.36,84.39,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Global Agg. Bond Acc,ORDER,2026-01-28T08:49:05.402Z,GBP,1965.74,SELL,VAGS,IE00BG47K971,25.865,0,76,London Stock Exchange,HUYD3DZ97RSS,BASIC,GBP,1965.74,25.865,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Ultra-Short Inc GBP Acc,ORDER,2026-01-28T08:47:05.553Z,GBP,2025.47,SELL,JGSA,IE00BG47J908,119.1452941,0,17,London Stock Exchange,B62RH0G9PHNP,BASIC,GBP,2025.47,119.1452941,,,0,,,,,,,,,,,,,,,,,,,,,,,,
MSCI World ex-USA USD Acc,ORDER,2026-01-26T08:45:06.252Z,GBP,3000.64,BUY,XUSE,IE000R4ZNTN3,4.90300654,0,612,London Stock Exchange,F5MDIQYS618R,BASIC,GBP,3000.64,4.90300654,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Top up,TOP_UP,2026-01-24T21:50:02.450Z,GBP,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
International Public Partnerships,ORDER,2026-01-19T09:16:04.838Z,GBP,5599.99,BUY,INPP,GB00B188SR50,1.29359898,0,4329,London Stock Exchange,QJSWWK1QIXG4,MARKET,GBP,5599.99,1.29359898,,,0,,,,,,,,,,,,,,,,,,,,,,,,
